,round,categ_num,categ_person,flg_max_num,id,age,gender,gpa,income,subject_risk,cheat_activity,cheat_disagree,inc,holt_risk,mean_side,mean_cat_person
109,2,3,1,1,sqif5qxa,22.0,Male,7.0,40 000 - 70 000 rubles,2.0,4.0,5.0,4,3,0.625,1.0
110,2,2,1,1,k5kam98u,19.0,Female,8.0,20 000 - 40 000 rubles,4.0,5.0,6.0,3,2,0.75,1.875
111,2,3,2,1,7d15mdk2,19.0,Female,8.0,>100 000 rubles,8.0,2.0,9.0,6,5,0.875,2.375
112,2,3,1,1,4gzj35zj,21.0,Male,8.0,<10 000 rubles,7.0,2.0,7.0,1,5,0.5,1.75
113,2,2,3,0,x5dvpd1m,20.0,Female,8.0,40 000 - 70 000 rubles,7.0,6.0,3.0,4,8,0.625,2.25
114,2,1,1,1,9a9rdfim,21.0,Male,8.0,70 000 - 100 000 rubles,2.0,3.0,10.0,5,2,0.125,1.25
115,2,2,1,1,vlt4uukn,20.0,Male,7.0,40 000 - 70 000 rubles,8.0,8.0,2.0,4,6,0.875,1.0
116,2,2,3,1,0ow5w7je,20.0,Male,7.0,20 000 - 40 000 rubles,8.0,5.0,8.0,3,6,0.875,1.25
117,2,3,1,0,7skvogqj,20.0,Female,7.0,20 000 - 40 000 rubles,5.0,9.0,8.0,3,5,0.625,1.5
118,2,3,1,0,d8ht1iwm,20.0,Male,10.0,10 000 - 20 000 rubles,3.0,3.0,7.0,2,3,0.375,1.0
119,2,1,1,0,9y70ywn0,19.0,Male,9.0,>100 000 rubles,8.0,1.0,5.0,6,4,0.5,1.0
120,2,2,1,1,v5u2lpx3,20.0,Male,9.0,10 000 - 20 000 rubles,4.0,1.0,10.0,2,4,0.875,2.0
121,2,1,3,1,bbjpbwsz,20.0,Female,8.0,20 000 - 40 000 rubles,7.0,3.0,8.0,3,6,0.75,2.5
122,2,2,1,1,rnp0bj7s,20.0,Female,8.0,40 000 - 70 000 rubles,5.0,3.0,6.0,4,6,0.75,1.0
123,2,3,1,0,6abqubju,19.0,Female,8.0,40 000 - 70 000 rubles,4.0,3.0,8.0,4,3,0.5,1.75
124,2,1,2,1,rvgteb3g,19.0,Female,8.0,20 000 - 40 000 rubles,8.0,4.0,6.0,3,9,0.875,2.5
125,2,1,1,0,obe5mwhf,21.0,Female,8.0,20 000 - 40 000 rubles,2.0,3.0,8.0,3,4,0.5,1.75
